r1: 0.6899839169990954, angle1: 207.89372135814287, angle2: 60.95751338907895, length: 3.971718926482074
r1: 0.6633809980636897, angle1: 207.6276906583122, angle2: 57.813271097639394, length: 3.742696537879625
r1: 0.6358859344794792, angle1: 207.15172824147902, angle2: 54.45918828477902, length: 3.507841863167295
r1: 0.6076555500863424, angle1: 206.41780779721, angle2: 50.84723771524236, length: 3.2677125705277206
r1: 0.5789343752033393, angle1: 205.36592933664446, angle2: 46.91741848778954, length: 3.0232175943391564
r1: 0.5500930288791793, angle1: 203.92216658575074, angle2: 42.59580342824583, length: 2.775762415226737
r1: 0.5216811475343492, angle1: 201.99824877193467, angle2: 37.79412087590448, length: 2.527439894301369
r1: 0.4944948734419404, angle1: 199.49550824773948, angle2: 32.41370230702805, length: 2.2812557304252143
r1: 0.4696478055800357, angle1: 196.31854465528394, angle2: 26.359146499089306, length: 2.041330187083587
r1: 0.4486068972598046, angle1: 192.4061627019351, angle2: 19.569257306252315, length: 1.8129178126171808
r1: 0.4331094475202418, angle1: 187.78335169827093, angle2: 12.069023197147036, length: 1.6019532402841432
r1: 0.42485477812527783, angle1: 182.6177881131539, angle2: 4.026119809757614, length: 1.413840129516126
